material_id,pretty_formula,full_formula,unit_cell_formula,density,spacegroup.crystal_system,volume,band_gap,formation_energy_per_atom,e_above_hull,z_A,z_B,z_X,row_A,row_B,row_X,grp_A,grp_B,grp_X,atom_mass_A,atom_mass_B,atom_mass_X,mol_vol_A,mol_vol_B,mol_vol_X,ion_rad_A,ion_rad_B,ion_rad_X,cov_rad_A,cov_rad_B,cov_rad_X,vdw_rad_A,vdw_rad_B,vdw_rad_X,x_A,x_B,x_X,ea_A,ea_B,ea_X,k_A,k_B,k_X,val_A,val_B,val_X,bp_A,bp_B,bp_X,mp_A,mp_B,mp_X,heat_fus_A,heat_fus_B,heat_fus_X,ie_A,ie_B,ie_X,a,b,c,alpha,beta,gamma,nA,nB,nX,rA,rB,rX,mu,t,tau
mp-556841,LaTmS3,La12Tm12S36,"{'La': 12.0, 'Tm': 12.0, 'S': 36.0}",5.6974583828726,3,1413.0835021133637,0.8731,-2.5448593648750006,0.0253203549166665,57,69,16,8,8,3,3,15,16,138.90547,168.93421,32.065,22.39,19.1,15.53,1.172,1.095,0.88,1.94,1.77,1.04,298,280,189,1.1,1.25,2.58,45.35,99.283,200.41,13.0,17.0,0.205,3.0,3.0,6.0,3743.0,2223.0,717.87,1193.0,1818.0,388.36,6.2,16.8,1.73,538.1,596.7,999.6,3.999776,16.48407,21.432247,90.0,90.0,90.0,3.0,3.0,-2.0,1.36,0.88,1.84,0.47826086956521735,0.8318903308077029,3.7414286592029757
mp-8613,MnPS3,Mn2P2S6,"{'Mn': 2.0, 'P': 2.0, 'S': 6.0}",2.6833312665172486,2,225.3880995541573,0.2185999999999999,-0.8043913005203202,0.0,25,15,16,4,3,3,7,15,16,54.938045,30.973762,32.065,7.35,17.02,15.53,0.648333333,0.55,0.88,1.29,1.09,1.04,245,190,189,1.55,2.19,2.58,0.0,72.037,200.41,7.8,0.236,0.205,4.0,5.0,6.0,2334.0,550.0,717.87,1519.0,317.0,388.36,13.2,0.64,1.73,717.3,1011.0,999.6,6.06739945,6.06742206,7.34592981,97.81530306,97.81461866,119.99367902,3.0,3.0,-2.0,0.645,0.44,1.84,0.23913043478260868,0.7706843645827064,6.67987816014828
mp-1189520,NaPS3,Na4P4S12,"{'Na': 4.0, 'P': 4.0, 'S': 12.0}",2.053626689443856,2,485.6658878761321,2.0008,-0.9691099855892858,0.0,11,15,16,3,3,3,1,15,16,22.98976928,30.973762,32.065,23.78,17.02,15.53,1.16,0.55,0.88,1.6,1.09,1.04,250,190,189,0.93,2.19,2.58,52.867,72.037,200.41,140.0,0.236,0.205,1.0,5.0,6.0,1156.0,550.0,717.87,370.87,317.0,388.36,2.6,0.64,1.73,495.8,1011.0,999.6,7.890501,6.739701,9.13262393,89.78065042,90.0,90.0,1.0,5.0,-2.0,1.39,0.38,1.84,0.20652173913043478,1.0288085149696162,6.662622822082982
mp-1188683,NdBS3,Nd4B4S12,"{'Nd': 4.0, 'B': 4.0, 'S': 12.0}",4.065373208224624,3,410.4982229538665,2.4077,-1.6435071000416663,0.0010026760300005,60,5,16,8,2,3,6,13,16,144.242,10.811,32.065,20.59,4.39,15.53,1.2765,0.41,0.88,1.88,0.84,1.04,295,192,189,1.14,2.04,2.58,0.0,26.989,200.41,17.0,27.0,0.205,3.0,3.0,6.0,3373.0,4200.0,717.87,1297.0,2349.0,388.36,7.1,50.0,1.73,533.1,800.6,999.6,6.07159,7.57325,8.927432,90.0,90.0,90.0,3.0,3.0,-2.0,1.27,0.27,1.84,0.14673913043478262,1.0422284784313567,6.928457790866529
mp-1105614,NdScS3,Nd4Sc4S12,"{'Nd': 4.0, 'Sc': 4.0, 'S': 12.0}",4.222587140381274,3,448.9248547883799,1.8593,-2.398325325875001,0.0,60,21,16,8,4,3,6,3,16,144.242,44.955912,32.065,20.59,15.0,15.53,1.2765,0.885,0.88,1.88,1.59,1.04,295,258,189,1.14,1.36,2.58,0.0,18.1,200.41,17.0,16.0,0.205,3.0,3.0,6.0,3373.0,3103.0,717.87,1297.0,1814.0,388.36,7.1,16.0,1.73,533.1,633.0,999.6,6.515513,7.170134,9.609433,90.0,90.0,90.0,3.0,3.0,-2.0,1.27,0.745,1.84,0.40489130434782605,0.8507164756248213,3.0577427677481595
mp-862754,PrBS3,Pr4B4S12,"{'Pr': 4.0, 'B': 4.0, 'S': 12.0}",3.9528778989628015,3,416.5778063384324,2.4637,-1.650552482041666,0.0,59,5,16,8,2,3,5,13,16,140.90765,10.811,32.065,20.8,4.39,15.53,1.06,0.41,0.88,1.9,0.84,1.04,292,192,189,1.13,2.04,2.58,92.819,26.989,200.41,13.0,27.0,0.205,4.0,3.0,6.0,3563.0,4200.0,717.87,1208.0,2349.0,388.36,6.9,50.0,1.73,527.0,800.6,999.6,6.032674,7.676032,8.996001,90.0,90.0,90.0,3.0,3.0,-2.0,1.179,0.27,1.84,0.14673913043478262,1.011732403982079,6.702196442742392
mp-1189962,PrScS3,Pr4Sc4S12,"{'Pr': 4.0, 'Sc': 4.0, 'S': 12.0}",4.145377443472722,3,451.9436578760842,1.8377,-2.399381978875,0.0,59,21,16,8,4,3,5,3,16,140.90765,44.955912,32.065,20.8,15.0,15.53,1.06,0.885,0.88,1.9,1.59,1.04,292,258,189,1.13,1.36,2.58,92.819,18.1,200.41,13.0,16.0,0.205,4.0,3.0,6.0,3563.0,3103.0,717.87,1208.0,1814.0,388.36,6.9,16.0,1.73,527.0,633.0,999.6,6.5354,7.187613,9.62116,90.0,90.0,90.0,3.0,3.0,-2.0,1.179,0.745,1.84,0.40489130434782605,0.8258241285888538,3.812415813664863
mp-556953,RbPS3,Rb2P2S6,"{'Rb': 2.0, 'P': 2.0, 'S': 6.0}",2.2911278338013616,3,308.22489516237584,0.0015999999999999,-1.076704689089285,0.0,37,15,16,5,3,3,1,15,16,85.4678,30.973762,32.065,55.76,17.02,15.53,1.66,0.55,0.88,2.15,1.09,1.04,321,190,189,0.82,2.19,2.58,46.884,72.037,200.41,58.0,0.236,0.205,1.0,5.0,6.0,961.0,550.0,717.87,312.46,317.0,388.36,2.19,0.64,1.73,403.0,1011.0,999.6,7.47057561,7.47057561,7.47057561,122.34317794,105.65880823,101.25071429,1.0,5.0,-2.0,1.72,0.38,1.84,0.20652173913043478,1.1339189824432923,6.839847403028947
mp-972448,SmBS3,Sm4B4S12,"{'Sm': 4.0, 'B': 4.0, 'S': 12.0}",4.274794435605385,3,399.8941271701671,2.3885999999999994,-1.6322869542083331,0.0155004867799997,62,5,16,8,2,3,8,13,16,150.36,10.811,32.065,19.98,4.39,15.53,1.229,0.41,0.88,1.85,0.84,1.04,287,192,189,1.17,2.04,2.58,0.0,26.989,200.41,13.0,27.0,0.205,3.0,3.0,6.0,2076.0,4200.0,717.87,1345.0,2349.0,388.36,8.6,50.0,1.73,544.5,800.6,999.6,6.048584,7.44542,8.879778,90.0,90.0,90.0,3.0,3.0,-2.0,1.24,0.27,1.84,0.14673913043478262,1.0321748275140121,6.8527141767179005
mp-1188840,SmScS3,Sm4Sc4S12,"{'Sm': 4.0, 'Sc': 4.0, 'S': 12.0}",4.388873671206336,3,441.17492913223305,1.8363,-2.394842980041666,0.0,62,21,16,8,4,3,8,3,16,150.36,44.955912,32.065,19.98,15.0,15.53,1.229,0.885,0.88,1.85,1.59,1.04,287,258,189,1.17,1.36,2.58,0.0,18.1,200.41,13.0,16.0,0.205,3.0,3.0,6.0,2076.0,3103.0,717.87,1345.0,1814.0,388.36,8.6,16.0,1.73,544.5,633.0,999.6,6.468698,7.125017,9.572118,90.0,90.0,90.0,3.0,3.0,-2.0,1.24,0.745,1.84,0.40489130434782605,0.8425102073712056,3.2705065848697323
