test,pred
-1.1913495085310348,-1.1898174664145544
-3.598604264749999,-3.6024475488660026
-1.5528136185560002,-1.3970087089818524
-3.822132465083334,-3.8228648163374457
-2.0577786194166663,-2.118978506197135
-2.03898967975,-2.111601462164632
-2.1653193400833333,-2.419301038018555
-3.1430932257499995,-3.1425722014131887
-2.42232763925,-2.5425244455041196
-3.786610296916666,-3.7707868100081345
-3.65415722475,-3.6745388016373237
-1.0984805274402845,-0.10224571032972403
-3.728057979750001,-3.75343437600613
-3.571795695349999,-3.5043760375831776
-2.73471841975,-2.6379274611478474
-2.68632445475,-2.5998869957646127
-3.522414344749999,-3.523562173953754
-3.0011472485703674,-3.010307430920512
-2.975991251170369,-3.002029396713753
-2.31554568525,-2.3611261076199086
-2.763687719214,-2.7786958509847812
-2.65421097325,-2.654690891556377
-3.4867550467500004,-3.485425687078663
-3.90564214425,-3.9332199261386256
-1.512666917326,-1.4911702872529373
-1.7283663744560005,-1.7922149403851537
-1.818497824373034,-1.8114130779149322
-1.0975185280000002,-1.1269474828949346
-2.159038973416666,-2.1446618487730342
-2.862382010847333,-2.8703009722722483
-2.009359308416668,-1.9792066373369575
-2.8079864010473328,-2.873054800607044
-1.7964006757499988,-1.8769707098385953
-3.6466289834166665,-3.5967429230539625
-0.8327725365862069,-0.8738110681777679
-2.59996960075,-2.5573577854935254
-2.61383652225,-2.6046346634848265
-2.6469012922142867,-2.6079912586091263
-1.4618282964687497,-1.4092831489456008
-1.7821943750416671,-1.8419535328561223
-1.0598267540977016,-1.088248921830259
-3.2174992717916666,-3.203731879929032
-2.931989247916666,-2.9139767851898
-2.1246517197140005,-2.11995800301763
-2.903472738333334,-2.8746679808976716
-1.7994483715422072,-1.8156959092448668
-2.166666672250001,-2.30301347595022
-2.45811154775,-2.457902985898964
-2.5709952584166667,-2.5277152828767036
-1.846618281714,-1.8297580604707342
-3.700479273416667,-3.739698929887429
-3.701968378416666,-3.6485063690581097
-1.9544531496,-1.9821559009209715
-3.021434282670368,-2.985293565135898
-1.129317659586207,-1.1111088684384216
-2.7259952141230337,-2.783575744816336
-2.619368267837035,-2.484013112359144
-3.050078991214,-3.058050630707525
-1.1869764378749998,-1.3270528472153367
