test,pred
-3.4783532393806667,-3.3150589044866146
-3.00500960575,-3.228350465984223
-2.775134622750001,-2.7224986794541755
-1.6981491197499998,-2.2729644561182734
-2.1814207537499994,-2.440346529090713
-2.8479775605473336,-2.7958186091366537
-2.7626964307499984,-2.761882885282799
-2.6987868547500007,-2.5270348537331464
-2.2064682517083343,-2.2535697102814347
-2.8802411287499994,-2.8555101077201264
-2.544994039208333,-2.5413923813422583
-2.61697115275,-2.560280906016126
-2.086238155083333,-2.007260272003088
-1.1827058849062495,-1.1442538198184518
-3.250530180749999,-3.5022718980739813
-2.414312599416666,-2.420643165905531
-2.51938926475,-2.5468621178403446
-1.9242905891309523,-1.8252392883331494
-1.3419279087500002,-1.7107803726782687
-2.698429437564286,-2.4209805102866233
-1.28668761375,-1.4248694271893805
-3.04126152125,-3.0665987223758195
-3.07851115475,-2.986383314257458
-1.2507192625,-1.2108606241228466
-1.76824925975,-1.6659268984176687
-1.2542771116250009,-1.2761851444228827
-2.5847744987500008,-2.5983374135163197
-2.8841969580833315,-2.812411639073957
-1.1972220770946662,-1.0873294822279254
-0.8043913005203202,-0.7596031408589682
-2.90603223675,-2.8675940750363096
-2.887155058047333,-2.7958186091366537
-2.000661426539701,-2.1867318418214294
-3.21510841275,-3.1164022755974163
-1.0560869805416673,-1.0937756525399394
-1.7235750987499998,-1.6855586940138814
-3.69052260463354,-3.746185696460932
-1.6620608572528734,-1.8669741533965838
-2.691594354416666,-2.5385145154247875
-2.4319005867083336,-2.363712839822286
-2.366186581749999,-2.346579538142527
-2.7958119862140003,-2.6452450381534782
-2.85744492375,-2.832611633231722
-1.076704689089285,-1.0776367622109673
-3.79574822875,-3.5619948014202056
-3.21513356575,-3.2246476405877904
-2.5366289454687503,-2.4878877838373015
-3.4833123414166662,-3.434462202036559
-2.3054012297187496,-2.287662823735208
-3.033257101170368,-2.9595552514097276
-1.490385891392667,-1.5755270120693878
-2.7297300893002068,-2.7620400065534967
-2.00194559375,-2.392926133396735
-3.30242995025,-3.0732712886752114
-3.55885100475,-3.592847865344902
-3.438564379416667,-3.2660799955663755
-2.0581112742500003,-2.387129180805552
-2.535435674456001,-2.554465421336124
-2.6865773774642854,-2.4263061973718623
-2.469257071416666,-2.49814079718418
-2.6893057168755403,-2.646176936333994
-2.3884210932500003,-2.3585274561201404
-2.002744059206368,-2.186293128182055
-1.95211047975,-1.7984527858155368
-3.11714151975,-3.005223513607124
-1.5887887697500012,-1.656235153966852
-1.8999027836,-1.97046447105081
-2.37361266675,-2.2150582132734464
-3.34848136735,-3.112145437856215
-2.7797904112500005,-2.6791942550875647
-2.789519998336206,-2.8560724329335447
-1.7196648024560006,-1.671929293797941
-1.855178094456,-1.740743354843533
-1.1829764960946665,-1.196542774081684
-3.00771450775,-2.8460402272640755
-3.0618869530473334,-2.914913781366739
-1.385024958456,-1.6343668046349011
-2.3240505292500004,-2.46474108625893
-3.217715117749999,-3.237485334594962
-2.217491670956,-1.8575823628424668
-3.5555076317499994,-3.4827507331351963
-2.466957132750001,-2.9308633261650434
-2.8437411650862074,-2.885863945769551
-1.7536430497499993,-2.1854217681740393
-2.853519125083333,-2.8338118994870185
-2.2692890394642853,-2.056917031685289
-3.06529732775,-2.934959977012449
-1.465829451542207,-1.6076338768758556
-1.283287357416666,-1.3416626062844275
-3.2112150567500004,-3.1342757974060134
-2.817416684,-2.8492679789451696
-2.85229083375,-3.060053674341339
-3.321972458714,-3.137407617299005
-2.467933844714,-2.5401882355381753
-2.2226410083140005,-2.459391207081908
-2.88715552975,-2.7319510039895443
-3.07528078375,-2.9693338418128348
-1.732899943873035,-1.889349155151599
-2.9395878483139994,-2.9397564724081797
-2.631484731249999,-2.7802577333192717
-2.718155509397618,-2.3967094227488084
-3.76477594725,-3.7341915920118067
-3.1884906067500003,-3.1004484283199583
-2.781528095416667,-2.6484478423903486
-3.0295626449203685,-2.9652988651523544
-1.6322869542083331,-1.4897948145139186
-1.2755351269560002,-1.3868059205022052
-2.998476852170368,-2.9652988651523544
-2.63899048375,-2.447907271960342
-1.4874761622499988,-1.767226197433894
-2.6437404047499995,-2.5116646357698946
-3.7426889060833326,-3.5811924522736875
-2.84014907025,-2.851000632602226
-2.991485681170368,-2.8729760931682975
-3.127519877416666,-2.8507152826156754
-1.7487852289166668,-1.8398816936510485
-0.81368135875,-1.5244062838302925
-3.1104302627500005,-2.9731308049351726
-3.707152823916666,-3.639228727357856
-2.016737200831367,-1.9065918327807994
-3.0778412432063686,-2.994688440752402
-2.8468051220473334,-2.762498440748883
-1.2810575950019996,-1.2122979322195817
-2.9531907523730334,-2.972278402805386
-2.8272400497499985,-2.8328697989371316
-1.236189892428,-1.1208448876367978
-2.79791814875,-2.782476570894323
-1.1806338642187495,-1.1945875405846345
-2.2608453187500004,-2.4460856766602634
-3.454981252083333,-3.3056069139728526
-1.2976827495862069,-1.2347114797519352
-3.73074494575,-3.706333061941092
-0.8266545905862067,-0.8590490477847245
-3.4461187044166666,-3.203384950504601
-1.7782225227499993,-1.6659268984176687
-3.2070573762916665,-3.154657591824884
-3.925785323916666,-3.8393855516160826
-1.7293346328870345,-1.9111156855021803
-2.8354007633140004,-2.747795123602966
-1.1913495085310348,-1.473657137023257
-3.598604264749999,-3.671376694034211
-1.5528136185560002,-1.603058279545881
-3.822132465083334,-3.675229990626713
-2.0577786194166663,-2.260625208845709
-2.03898967975,-2.2352262088534585
-2.1653193400833333,-2.5322888524346525
-3.1430932257499995,-3.1145520249951675
-2.42232763925,-2.38990446808116
-3.786610296916666,-3.680299854494336
-3.65415722475,-3.605316595636084
-1.0984805274402845,-0.38454338853632114
-3.728057979750001,-3.6337148191579756
-3.571795695349999,-3.4055585484841333
-2.73471841975,-2.732653191399044
-2.68632445475,-2.4922590521590133
-3.522414344749999,-3.472972870863339
-3.0011472485703674,-2.9652988651523544
-2.975991251170369,-2.9652988651523544
-2.31554568525,-2.4287035927574645
-2.763687719214,-2.6359079819900444
-2.65421097325,-2.5822854528685335
-3.4867550467500004,-3.4083987792650925
-3.90564214425,-3.9346654472764553
-1.512666917326,-1.509646264267869
-1.7283663744560005,-1.6776729075405679
-1.818497824373034,-1.87145386209702
-1.0975185280000002,-1.1114669899491874
-2.159038973416666,-2.1766826103010795
-2.862382010847333,-2.7958186091366537
-2.009359308416668,-2.3554218506080695
-2.8079864010473328,-2.9293844221186625
-1.7964006757499988,-1.8952724893134445
-3.6466289834166665,-3.6140284437423102
-0.8327725365862069,-0.8590490477847245
-2.59996960075,-2.610621041137559
-2.61383652225,-2.6557449671634665
-2.6469012922142867,-2.4214474099704035
-1.4618282964687497,-1.3674731858711715
-1.7821943750416671,-1.6882699566817791
-1.0598267540977016,-1.4146298127277643
-3.2174992717916666,-3.158666677211436
-2.931989247916666,-2.8922281109814914
-2.1246517197140005,-1.917381366677011
-2.903472738333334,-2.8675940750363096
-1.7994483715422072,-1.749735347577033
-2.166666672250001,-2.044481733571758
-2.45811154775,-2.6026629920568953
-2.5709952584166667,-2.424652251292083
-1.846618281714,-1.8860784909306425
-3.700479273416667,-3.712540446234357
-3.701968378416666,-3.639228727357856
-1.9544531496,-1.9475587106382677
-3.021434282670368,-2.9336116435093356
-1.129317659586207,-1.1057233762065606
-2.7259952141230337,-2.715967505571196
-2.619368267837035,-2.4108825327205046
-3.050078991214,-3.0011336444874215
-1.1869764378749998,-1.2494706513799585
